matrix_type,n,solver,cond(A),mean_time_s,std_time_s,residual_error,solution_error,status
SPD,50,Gaussian,13.588896773402753,0.015639117918908596,0.008210635817103,1.1366947811665166e-16,1.3889145671234827e-15,Success
SPD,50,SVD,13.588896773402753,3.6192519944161177,3.356043113624317,1.1082693154911069e-14,1.238392780063255e-13,Success
SPD,50,Gauss-Seidel,13.588896773402753,0.08656086437404156,0.008108351835575034,3.727272989072934e-12,4.1143789393897904e-11,Success
SPD,100,Gaussian,25.667792093566867,0.06310650799423456,0.010227837332124404,1.380460216178618e-16,2.742904430354191e-15,Success
SPD,100,SVD,25.667792093566867,13.588305246829986,0.829067818002597,3.3950380387686725e-14,7.227925332336906e-13,Success
SPD,100,Gauss-Seidel,25.667792093566867,0.3552409239113331,0.017107467147857398,6.786632916254824e-13,1.4549368055088807e-11,Success
SPD,200,Gaussian,51.230794322727654,0.36481650033965707,0.01513181428460834,1.4308562902776335e-16,7.300743344529715e-15,Success
SPD,200,SVD,51.230794322727654,222.8651773485355,33.96451187151934,8.869818825006736e-14,3.7946359493088144e-12,Success
SPD,200,Gauss-Seidel,51.230794322727654,3.466016149427742,0.8149068395900169,1.351709271509049e-13,5.6594357273795615e-12,Success
SPD,500,Gaussian,126.51293620221067,5.735051567759365,0.0635261859691049,1.6358199913297994e-16,1.8580420632449246e-14,Success
SPD,500,SVD,126.51293620221067,,,,,Skipped
SPD,500,Gauss-Seidel,126.51293620221067,33.38729056622833,1.255524191336318,1.4253503418477987e-14,1.3481843393364855e-12,Success
SPD,1000,Gaussian,251.16709635699453,42.69681251198053,2.163754153430958,2.3625541355646896e-16,4.6532685769538964e-14,Success
SPD,1000,SVD,251.16709635699453,,,,,Skipped
SPD,1000,Gauss-Seidel,251.16709635699453,366.45477791745213,35.33773099758565,2.460204931738267e-15,4.927912630462788e-13,Success
Hilbert,50,Gaussian,2.3756325491900666e+19,0.004098786786198616,0.0007312711018569252,3.3606688107983993e-07,6725555.94981954,Success
Hilbert,50,SVD,2.3756325491900666e+19,0.14196397187188267,0.007331717967400961,0.00045632857105554144,1551.292592287495,Success
Hilbert,50,Gauss-Seidel,2.3756325491900666e+19,25.01423778068274,3.3482700746235157,1.5633786388756883e-08,0.4422826666144447,Success
Hilbert,100,Gaussian,3.0310502811585376e+19,0.020820548478513955,0.001652247235664434,7.616136058215284e-06,602539776.6450918,Success
Hilbert,100,SVD,3.0310502811585376e+19,1.1007987016811966,0.017424029446456223,0.0003449469979333382,1877.6748590352256,Success
Hilbert,100,Gauss-Seidel,3.0310502811585376e+19,39.82724003223702,0.3689081478505831,3.664322150397062e-08,0.4954815277824503,Success
Hilbert,200,Gaussian,1.019624121093478e+20,0.09781707916408777,0.015487898060959038,0.00039423349598665346,4170401791.2071333,Success
Hilbert,200,SVD,1.019624121093478e+20,9.897861674800515,0.4096002273484873,0.00038377115417476734,3968.7273954125053,Success
Hilbert,200,Gauss-Seidel,1.019624121093478e+20,90.62417328692973,11.367906035196453,2.4082235056475305e-08,0.49890866824319235,Success
