matrix_type,n,solver,cond(A),mean_time_s,std_time_s,residual_error,solution_error
SPD,50,Gaussian,1.5853099674209763,0.005442366003990173,0.0006398968959656095,2.435818050355175e-16,3.3383451232355555e-16
SPD,50,SVD,1.5853099674209763,0.0250454293563962,0.00028064804262492566,1.1187955785192423,1.0409315265441064
SPD,50,Gauss-Seidel,1.5853099674209763,0.004228778276592493,0.0005574970602753379,1.8529906510293343e-09,2.1606413714265406e-09
SPD,100,Gaussian,1.5559268971031754,0.03521205959841609,0.0007739252521867304,3.7596472344338666e-16,5.084144307788456e-16
SPD,100,SVD,1.5559268971031754,0.21414516549557447,0.006419240274210748,1.137625743830802,1.0649416252012915
SPD,100,Gauss-Seidel,1.5559268971031754,0.014890049304813146,0.0004034064179732487,2.1498932444240455e-09,2.3984975619720733e-09
SPD,200,Gaussian,1.5440810941148413,0.2827993923798203,0.031197572849707807,4.969205941197148e-16,6.951560665215513e-16
SPD,200,SVD,1.5440810941148413,1.7073137797415257,0.022185638512168204,1.1638006264557241,1.0875845646607323
SPD,200,Gauss-Seidel,1.5440810941148413,0.05296695297583938,0.001880347948451337,2.669162383235057e-09,2.990614802217369e-09
SPD,500,Gaussian,1.5282763915284758,4.731694637332112,0.01771151300105498,8.232325579133525e-16,1.1407462764154034e-15
SPD,500,SVD,1.5282763915284758,,,,
SPD,500,Gauss-Seidel,1.5282763915284758,0.42366416612640023,0.005973619751177493,3.5209718033167213e-10,4.4652830495968064e-10
SPD,1000,Gaussian,1.519578307719167,40.329927613586186,0.418668906260443,1.1403494277725362e-15,1.6015072104433686e-15
SPD,1000,SVD,1.519578307719167,,,,
SPD,1000,Gauss-Seidel,1.519578307719167,1.702741195820272,0.006579213366895983,3.2709498934916385e-10,4.189613348893453e-10
Hilbert,50,Gaussian,2.3756325491900666e+19,0.0036260982044041155,0.0003037227003422389,3.3606688107983993e-07,6725555.94981954
Hilbert,50,SVD,2.3756325491900666e+19,0.026261835545301437,0.0009878641159069502,46.92063089259988,50.76797626990745
Hilbert,50,Gauss-Seidel,2.3756325491900666e+19,0.32941420348361133,0.00838889602494071,3.5987227752879794e-06,0.4511889012982588
Hilbert,100,Gaussian,3.0310502811585376e+19,0.023057433497160672,0.0045439115769093505,7.616136058215284e-06,602539776.6450918
Hilbert,100,SVD,3.0310502811585376e+19,0.21555849015712739,0.006383867591630052,93.48390857925568,114.50903690263024
Hilbert,100,Gauss-Seidel,3.0310502811585376e+19,1.157409773208201,0.006893783908976037,3.804956428154109e-06,0.5129327476687071
Hilbert,200,Gaussian,1.019624121093478e+20,0.08791579250246287,0.0033171537210780443,0.00039423349598665346,4170401791.2071333
Hilbert,200,SVD,1.019624121093478e+20,1.65585319371894,0.02767288192877699,188.53087414607472,227.6070321555278
Hilbert,200,Gauss-Seidel,1.019624121093478e+20,4.354070178419351,0.08669092338409551,1.0508566783401537e-05,0.5042913716771031
